SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20604150619,0,18,0,0,0,0,0,14,3,12,3,0,11,0,7,0,0,10,0,18,59,0,184,8,0,42,0,0,8,17,0,0,0,0,6,0,22,438
20604150620,0,8,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,5,0,13,20,0,48,3,0,12,0,0,3,5,0,0,0,0,0,0,58,195
20604150621,0,7,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,4,22,0,17,0,0,6,0,0,4,3,0,0,0,0,0,0,10,103
20604150622,0,3,3,0,0,0,0,8,0,0,0,0,5,5,4,0,0,3,0,12,41,0,49,4,0,33,0,0,5,8,0,0,0,0,4,0,14,192
20604150623,0,18,0,0,0,0,0,9,0,9,0,0,0,0,0,0,6,18,0,23,50,0,123,5,0,51,0,0,3,15,0,0,0,0,14,0,106,442
20604150624,0,11,0,0,3,0,0,15,3,13,0,0,3,8,0,0,3,8,0,27,39,0,30,9,0,42,0,0,16,24,0,0,0,0,6,0,36,297
20604150625,0,12,0,0,0,0,0,19,0,5,0,0,7,3,0,0,0,0,0,9,11,0,16,4,0,4,0,0,8,5,0,0,0,0,6,0,4,119
20604150626,0,9,0,0,4,0,0,9,0,0,4,0,5,13,0,0,19,11,0,43,49,0,55,0,0,14,3,0,5,7,6,0,0,0,80,3,163,499
20604150627,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,7,19,0,10,3,0,12,0,0,9,10,0,0,0,0,0,0,7,85
20604150628,0,23,0,0,3,0,0,21,0,8,0,0,5,8,4,0,4,20,0,37,37,0,71,12,0,20,0,0,13,11,4,0,0,0,25,0,53,390
20604150629,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,15,0,24,0,0,10,0,0,0,0,0,0,4,3,0,0,0,48,0,40,156
20604150630,0,4,0,0,0,0,0,18,4,3,0,0,5,0,6,0,0,4,0,15,27,0,25,12,0,14,0,0,13,6,0,0,0,0,8,0,27,196
20604150631,0,17,0,0,0,0,0,15,9,8,0,0,4,3,7,0,5,5,0,32,30,0,24,3,0,4,0,0,5,3,3,0,0,0,5,0,17,211
20604150632,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
20604150633,0,10,0,0,0,0,0,10,0,9,0,0,0,6,0,0,0,6,0,8,10,0,63,7,0,16,0,0,5,10,0,0,0,0,7,0,20,198
20604150634,0,7,0,0,0,0,0,12,0,0,0,0,3,6,0,0,0,0,0,13,16,0,24,6,0,10,0,0,11,0,0,0,0,0,0,4,3,126
20604150635,0,3,0,0,0,0,0,6,0,3,0,0,8,6,0,0,5,0,0,17,24,0,40,5,0,31,0,0,9,6,0,0,0,0,11,0,67,234
20604150636,0,18,0,0,0,0,0,20,0,6,0,0,7,4,5,0,0,8,0,16,21,0,30,9,0,35,4,0,3,10,0,0,0,0,8,0,13,205
20604150637,0,8,0,0,0,0,0,12,6,9,3,0,5,3,3,0,6,7,0,16,60,0,91,20,0,7,0,0,11,0,0,0,0,0,4,0,19,287
20604150638,0,9,0,0,0,0,0,13,0,12,4,0,6,3,3,0,0,10,0,19,38,0,61,12,0,29,0,0,0,5,0,0,0,0,5,3,40,268
20604150639,0,9,0,0,0,0,0,23,5,5,4,0,3,3,8,0,0,11,0,5,25,0,21,0,0,6,0,0,7,6,0,0,0,0,7,0,9,156
20604150701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20604150801,0,13,0,0,0,0,0,10,6,10,0,0,9,8,0,0,0,18,0,14,44,0,51,7,0,85,0,0,3,21,0,0,0,0,5,0,21,313
